UniProt ID	PDB ID	Coverage	Chain ID	PDB Start	PDB End	Uniprot Start	Uniprot End
Q9NYG8	4i9w	0.697	A	27	300	1	274
Q9NP98	7ank	0.696	C	2	209	92	299
P38484	5eh1	0.696	A	3	222	28	247
O60603	2z7x	0.69	A	1	535	27	553
O15492	2bt2	0.683	A	24	161	53	190
Q8N423	6aed	0.682	A	4	396	27	419
P01375	5yoy	0.678	A	8	165	76	233
Q9HCJ2	3zyj	0.671	A	32	432	44	444
Q15399	2z7x	0.671	B	1	517	25	539
P0CG47	9avw	0.664	A	1	152	77	228
P02671	3ghg	0.664	A	1	562	20	581
O43633	7zcg	0.662	B	1	147	8	154
Q9HBW1	3zyi	0.66	A	1	444	1	444
O14593	3v30	0.658	A	2	172	90	260
P78563	9d5k	0.657	A	1	487	215	741
P19440	4gdx	0.656	A	2	374	2	374
Q13557	2wel	0.653	A	2	327	10	335
O00482	3tx7	0.649	B	2	352	191	541
Q9BZR6	1p8t	0.638	A	1	285	27	311
P11226	1hup	0.618	A	1	141	108	248
P02745	5hkj	0.61	A	1	136	110	245
Q8NFU5	6e7f	0.608	A	16	278	70	416
P11172	3g3d	0.606	A	22	312	190	480
Q96FA3	9if9	0.6	A	1	251	13	263
P23677	1w2f	0.599	A	1	276	186	461
O75473	4kng	0.594	A	3	528	32	557
Q9Y2K7	7uv9	0.589	K	3	686	2	685
Q8N3R9	4wsi	0.578	A	5	394	236	675
Q8NAC3	6hg4	0.576	B	4	447	95	538
Q9H1I8	6yxq	0.572	B	6	438	2	434
Q9HC73	5j11	0.57	C	1	221	1	221
O15519	3h11	0.567	A	1	272	209	480
P01732	8ew6	0.561	W	1	120	22	141
Q9UF56	8ubt	0.559	C	1	392	310	701
P06729	1hnf	0.557	A	1	182	25	206
Q68D85	3pv7	0.553	A	2	239	25	262
Q04206	1nfi	0.546	A	1	301	20	320
O75888	4zch	0.544	A	1	136	115	250
Q15020	5ctq	0.538	A	44	561	94	611
O15488	4ueg	0.531	A	2	267	35	300
Q9NZU0	6jbu	0.531	B	8	337	29	358
P17252	4ra4	0.528	A	1	355	318	672
P09326	2edo	0.525	A	8	121	27	140
P29597	4oli	0.524	A	24	645	566	1187
Q12864	7cym	0.517	A	1	419	23	441
Q96NI6	5xws	0.516	A	1	362	18	379
P24723	8fp1	0.514	A	3	353	333	683
Q9HDC5	7rw4	0.513	A	4	342	1	442
P21802	6v6q	0.511	A	3	411	413	821
Q99707	4ccz	0.508	A	3	644	16	657
P02795	1mhu	0.508	A	1	31	31	61
Q8NFQ8	5j1s	0.506	B	2	239	233	470
Q676U5	5nuv	0.502	A	5	309	303	607
Q9Y6Y0	6n3h	0.502	A	2	323	321	642
Q9Y320	2dj0	0.5	A	8	131	137	260
P22059	7v62	0.498	A	3	404	406	807
Q8WXF1	3sde	0.497	A	2	261	61	320
P00750	1bda	0.491	A	1	265	298	562
Q9UDY8	7a41	0.485	A	5	404	329	728
P07359	6xfq	0.48	G	1	305	17	321
Q9NR30	6l5n	0.48	A	2	377	188	563
Q13627	8t2h	0.478	A	1	365	126	490
